virus,virusLabel,rankLabel,parent,parentLabel
http://www.wikidata.org/entity/Q116167171,Alphacoronavirus AMALF,Art,http://www.wikidata.org/entity/Q116151578,Amalacovirus
http://www.wikidata.org/entity/Q116167173,Alphacoronavirus CHB25,Art,http://www.wikidata.org/entity/Q57754588,Decacovirus
http://www.wikidata.org/entity/Q116167175,Alphacoronavirus WA3607,Art,http://www.wikidata.org/entity/Q57754588,Decacovirus
http://www.wikidata.org/entity/Q116167178,Alphacoronavirus HKU33,Art,http://www.wikidata.org/entity/Q57754632,Nyctacovirus
http://www.wikidata.org/entity/Q116167181,Alphacoronavirus WA2028,Art,http://www.wikidata.org/entity/Q57754632,Nyctacovirus
http://www.wikidata.org/entity/Q116167182,Alphacoronavirus BT020,Art,http://www.wikidata.org/entity/Q57754639,Pedacovirus
http://www.wikidata.org/entity/Q116167183,Alphacoronavirus WA1087,Art,http://www.wikidata.org/entity/Q57754639,Pedacovirus
http://www.wikidata.org/entity/Q116167191,Alphapironavirus bona,Art,http://www.wikidata.org/entity/Q116151586,Samovirus
http://www.wikidata.org/entity/Q116167215,Torovirus banli,Art,http://www.wikidata.org/entity/Q116151618,Bantovirus
http://www.wikidata.org/entity/Q123562955,TyRo-CoV-162275,Stamm,http://www.wikidata.org/entity/Q16993274,Tylonycteris bat coronavirus HKU4
